| Text                                                                                       | Label |
| ------------------------------------------------------------------------------------------ | ----- |
| NASA’s James Webb Space Telescope captures first full-color image of exoplanet atmosphere. | 1     |
| WHO reports significant drop in global malaria cases due to new vaccine rollout.           | 1     |
| Government of India announces new AI policy to boost digital education.                    | 1     |
| Pfizer COVID-19 vaccine gets approval for children aged 6 months to 5 years.               | 1     |
| United Nations declares 2025 as the International Year of Sustainable Energy.              | 1     |
| Study shows that eating chocolate daily improves memory in adults.                         | 1     |
| New law in Europe bans all single-use plastics by 2027.                                    | 1     |
| Experts confirm that climate change is accelerating faster than predicted.                 | 1     |
| Local city council approves new park project to boost community health.                    | 1     |
| Major breakthrough in Alzheimer’s research announced by top scientists.                    | 1     |
| Renewable energy usage hits record high in 2025.                                           | 1     |
| New study confirms link between meditation and reduced anxiety.                            | 1     |
| WHO warns of possible new flu strain in winter.                                            | 1     |
| Global poverty rates drop to lowest level in decades.                                      | 1     |
| Government announces major investment in clean water projects.                             | 1     |
| Aliens have landed in New Delhi and taken over the Parliament building.                    | 0     |
| Man claims he can cure cancer by drinking only lemon juice and sunlight.                   | 0     |
| NASA confirms discovery of a unicorn fossil on Mars.                                       | 0     |
| Government to replace all currency with QR codes starting tomorrow.                        | 0     |
| Scientists invent machine that can make humans live forever.                               | 0     |
| Drinking bleach cures COVID-19.                                                            | 0     |
| Moon landing was staged in a Hollywood studio.                                             | 0     |
| Bill Gates controls the weather using secret satellites.                                   | 0     |
| Vaccines contain microchips to track people.                                               | 0     |
| Eating onions prevents cancer completely.                                                  | 0     |
| Man claims to have time traveled to 3000 AD.                                               | 0     |
| Local news claims a town vanished overnight due to a portal to another dimension.          | 0     |
| Study claims eating garlic prevents all diseases.                                          | 0     |
| Fake claim: Drinking coffee cures all types of cancer.                                     | 0     |
| Fake claim: Scientists discover Atlantis under Antarctica.                                 | 0     |
| Fake claim: Teleportation device invented by a university professor.                       | 0     |
| Fake claim: Government replaced the moon with a hologram.                                  | 0     |
| Fake claim: Eating chocolate cures blindness.                                              | 0     |
| Fake claim: Scientists genetically engineered a human-dragon hybrid.                       | 0     |
| Fake claim: Mars will align with Earth to cause global earthquakes next year.              | 0     |
| Fake claim: There is                                                                       |       |
