text,label
NASA’s James Webb Space Telescope captures first full-color image of exoplanet atmosphere.,1
WHO reports significant drop in global malaria cases due to new vaccine rollout.,1
Government of India announces new AI policy to boost digital education.,1
Pfizer COVID-19 vaccine gets approval for children aged 6 months to 5 years.,1
United Nations declares 2025 as the International Year of Sustainable Energy.,1
Study shows that eating chocolate daily improves memory in adults.,1
New law in Europe bans all single-use plastics by 2027.,1
Experts confirm that climate change is accelerating faster than predicted.,1
Local city council approves new park project to boost community health.,1
Major breakthrough in Alzheimer’s research announced by top scientists.,1
Renewable energy usage hits record high in 2025.,1
New study confirms link between meditation and reduced anxiety.,1
WHO warns of possible new flu strain in winter.,1
Global poverty rates drop to lowest level in decades.,1
Government announces major investment in clean water projects.,1
Microsoft releases new AI-powered tool to improve productivity.,1
Apple unveils a new eco-friendly iPhone model.,1
New study shows exercise improves mental health in elderly.,1
China launches first solar power satellite into space.,1
India achieves record solar energy production.,1
UN releases report on biodiversity conservation progress.,1
Tesla announces affordable electric car model.,1
New research confirms link between sleep and brain health.,1
Local hospital reduces patient wait times with AI system.,1
Study shows plant-based diets reduce heart disease risk.,1
New global treaty signed to reduce plastic waste.,1
WHO releases guidelines for mental health in schools.,1
Scientists discover new species in the Amazon rainforest.,1
New renewable energy project launched in Africa.,1
Aliens have landed in New Delhi and taken over the Parliament building.,0
Man claims he can cure cancer by drinking only lemon juice and sunlight.,0
NASA confirms discovery of a unicorn fossil on Mars.,0
Government to replace all currency with QR codes starting tomorrow.,0
Scientists invent machine that can make humans live forever.,0
Drinking bleach cures COVID-19.,0
Moon landing was staged in a Hollywood studio.,0
Bill Gates controls the weather using secret satellites.,0
Vaccines contain microchips to track people.,0
Eating onions prevents cancer completely.,0
Man claims to have time traveled to 3000 AD.,0
Local news claims a town vanished overnight due to a portal to another dimension.,0
Study claims eating garlic prevents all diseases.,0
Fake claim: Drinking coffee cures all types of cancer.,0
Fake claim: Scientists discover Atlantis under Antarctica.,0
Fake claim: Teleportation device invented by a university professor.,0
Fake claim: Government replaced the moon with a hologram.,0
Fake claim: Eating chocolate cures blindness.,0
Fake claim: Scientists genetically engineered a human-dragon hybrid.,0
Fake claim: Mars will align with Earth to cause global earthquakes next year.,0
Fake claim: There is a secret city inside the Earth.,0
Fake claim: Drinking gold nanoparticles makes you immortal.,0
Fake claim: Elon Musk will colonize Jupiter next year.,0
Fake claim: Time travel already exists and is used by governments.,0
Fake claim: COVID-19 is caused by 5G technology.,0
Fake claim: Eating bananas prevents aging.,0
Fake claim: Scientists found a mermaid fossil in the Pacific Ocean.,0
Fake claim: The Great Wall of China hides a secret alien base.,0
Fake claim: NASA hid evidence of life on Mars for decades.,0
Fake claim: Drinking water backwards improves health dramatically.,0
Fake claim: The Earth is hollow and inhabited.,0
Fake claim: A secret language is hidden in all human DNA.,0
Fake claim: Drinking only carrot juice cures cancer.,0
Fake claim: There is a parallel universe next to ours.,0
Fake claim: Government replaced clouds with drones.,0
Fake claim: Scientists cloned dinosaurs successfully.,0
Fake claim: Eating raw soil boosts immunity.,0
Fake claim: The sun will disappear for a day next year.,0
Fake claim: A hidden city exists under Antarctica.,0
Fake claim: Humans have a third eye hidden under their skull.,0
Fake claim: Drinking seawater cures all diseases.,0
Fake claim: Vaccines alter your DNA permanently.,0
Fake claim: Earth is flat and NASA hides this fact.,0
Fake claim: Scientists discovered a planet made entirely of diamonds.,0
Fake claim: A giant sea creature is living under the Bermuda Triangle.,0
Fake claim: Time can be reversed using a special crystal.,0
Fake claim: Eating honey cures all illnesses.,0
Fake claim: Government uses mind control through cell towers.,0
Fake claim: Artificial intelligence will rule the world in 2030.,0
Fake claim: A portal to another world exists in the Himalayas.,0
Fake claim: Drinking urine cures diseases.,0
Fake claim: The moon landing was filmed on Mars.,0
Fake claim: Humans can breathe in space without equipment.,0
Fake claim: There is a hidden continent under the ocean.,0
Fake claim: Scientists can predict the future using quantum computers.,0
Fake claim: Eating clay cures digestive disorders.,0
Fake claim: There is a giant library on the moon.,0
Fake claim: A government satellite can read your thoughts.,0
Fake claim: Wearing magnets boosts brain power.,0
Fake claim: Eating carrots gives night vision.,0
Fake claim: A city exists inside a volcano.,0
Fake claim: The Earth is made of cheese.,0
Fake claim: Drinking silver water prevents aging.,0
Fake claim: A giant underwater city is inhabited by mermaids.,0
Fake claim: There is a hidden society controlling world events.,0
Fake claim: Eating gold improves intelligence.,0
Fake claim: A secret moon base exists operated by aliens.,0
Fake claim: Scientists created a real-life invisibility cloak.,0


